invalid,name,category_l,category_view,category_s,category,lunch,walking,distance,url
,Bistro Franky Hotel,イタリアン・フレンチ,ビストロ,ビストロ,ビストロ,-1,7,382.1748974,https://r.gnavi.co.jp/8a67485r0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Sandy TERRACE,お酒,ビール,ビール,ビアテラス×BBQ,2000,7,383.6411406,https://r.gnavi.co.jp/j15egefm0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Delizioso Italia,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),熾火焼きイタリア料理,3000,7,385.8720387,https://r.gnavi.co.jp/g765601/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Soba＆Sake 八福寿家,ラーメン・麺料理,そば,そば,蕎麦・日本酒バル,1200,7,391.761579,https://r.gnavi.co.jp/cw4thb7e0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,麺酒場 框,居酒屋,居酒屋,居酒屋,季節の料理と隠れ家空間,800,6,393.329224,https://r.gnavi.co.jp/n7c3khee0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,ＶＡＣＡＮＺＡ,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),ピッツェリア×魚介料理,1000,8,397.0470134,https://r.gnavi.co.jp/g765600/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,黒毛和牛×隠れ家バル 89BAL,ダイニングバー・バー・ビアホール,バル,スペインバル・イタリアンバール,肉プロの肉師がいるお店,-1,8,396.1402454,https://r.gnavi.co.jp/fu2cc3ux0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,恵比寿 居酒屋 こがねうどん酒場,居酒屋,居酒屋,居酒屋,讃岐うどん 居酒屋,1000,,396.9020451,https://r.gnavi.co.jp/2sr5v8u00000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,QUEEN OF CHICKENS 恵比寿店,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿バル居酒屋,900,8,397.9200041,https://r.gnavi.co.jp/jkryyxmk0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,nemo ダイニングカフェ,居酒屋,居酒屋,居酒屋,9名～の少人数宴会OK,1200,,411.1366887,https://r.gnavi.co.jp/mr64bbfw0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Reggiano,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),イタリアンダイニング,1100,8,421.5125893,https://r.gnavi.co.jp/bj9891z10000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,EspressoDworks 恵比寿店,カフェ・スイーツ,カフェ,カフェ,カフェ・パンケーキ,1000,8,421.5125893,https://r.gnavi.co.jp/1hs268aa0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,個室和風ダイニング 善菜 恵比寿本店,居酒屋,居酒屋,居酒屋,個室 和風ダイニング,1000,8,422.3020083,https://r.gnavi.co.jp/e261600/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,LA LUNA～Cafe＆Diner～,居酒屋,居酒屋,居酒屋,アメリカンダイナー,1000,10,425.0466712,https://r.gnavi.co.jp/ff8728s10000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,eatable EBIS,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿イタリアン,1000,8,428.0701023,https://r.gnavi.co.jp/gc40500/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,喜福世,焼肉・ホルモン,焼肉,焼肉,恵比寿焼肉レストラン,900,8,434.622659,https://r.gnavi.co.jp/g753700/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,RISTORANTE MASSA,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),イタリア料理,3000,9,438.7179279,https://r.gnavi.co.jp/gtxct3yb0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Tsunami． Ebisu Tokyo,欧米・各国料理,ハワイアン,ハワイアン料理,ハワイアンガーデン×肉,1200,7,445.0355162,https://r.gnavi.co.jp/7b0r6kd70000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,和心庭 一蔵 恵比寿,居酒屋,居酒屋,居酒屋,個室和食ＤＩＮＩＮＧ,950,7,454.741142,https://r.gnavi.co.jp/g382507/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,小籠包専門店 京鼎樓 恵比寿本店,中華,中華料理,中華料理,小籠包カフェ,1200,7,449.6943437,https://r.gnavi.co.jp/ga3b703/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,SUMI‐BIO,ダイニングバー・バー・ビアホール,ダイニングバー,ダイニングバー,野菜 Dining,1000,9,453.6518241,https://r.gnavi.co.jp/p633800/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,TETOTE APARTMENT,イタリアン・フレンチ,ピザ,ピザ,恵比寿 ピザビストロ,1000,8,456.4873386,https://r.gnavi.co.jp/cbk2h9690000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
